issue_id,issue_desc,issue_comments,closed_at,created_at
9,"The model should have no dependencies to other classes of JabRef and the logic should only depend on model classes."
1,"We have been successfully transitioning from a spaghetti to a more structured architecture with the model in the center, and the logic as an intermediate layer towards the gui which is the outer shell."
10,"The cli package bundles classes that are responsible for JabRef’s command line interface."
11,"The preferences represents all information customizable by a user for her personal needs."
8,"For each layer, we form packages according to their responsibility, i.e., vertical structuring."
2,"There are additional utility packages for preferences and the cli."
13,"This allows us to keep the architecture but still react upon changes within the core in the outer layers."
5,"The model represents the most important data structures (BibDatases, BibEntries, Events, and related aspects) and has only a little bit of logic attached."
12,"We use an event bus to publish events from the model to the other layers."
3,"The dependencies are only directed towards the center."
6,"The logic is responsible for reading/writing/importing/exporting and manipulating the model, and it is structured often as an API the gui can call and use."
4,"We have JUnit tests to detect violations of the most crucial dependencies (between logic, model, and gui), and the build will fail automatically in these cases."
7,"Only the gui knows the user and his preferences and can interact with him to help him solve tasks."
