issue_id,issue_desc,issue_comments,closed_at,created_at
47,"If the action is allowed, it will be performed, interacting with the Logic component as necessary."
186,"Its primary function is for E2E tests and L&P (Load & Performance) tests."
151,"Attempt to update an entity that does not exist throws EntityDoesNotExistException."
41,"Third, the browser will render the page and execute the page scripts, most of the time requiring AJAX requests to the server."
100,"Invalid parameters throws InvalidParametersException."
170,"test.driver contains infrastructure and helpers needed for running the tests."
60,"First, the source of the request will be checked for administrator privilege."
9,"The storage layer of the application uses the persistence framework provided by GAE Datastore, a NoSQL database."
27,"It is written in Angular framework and consists of HTML, SCSS, and TypeScript files."
101,"Entity already exists throws EntityAlreadyExistsException (escalated from Storage level)."
52,"The Web API is protected by two layers of access control check."
105,"This way, read operations can be used easily for checking the existence of an entity."
97,"The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic."
78,"In particular, it is responsible for the following."
133,"storage.search contains classes for dealing with searching and indexing."
179,"x.webapi contains system test cases for testing the user-invoked actions."
50,"Sixth, WebApiServlet sends the result back to the browser which will then process it on the front-end."
91,"EmailSender sends email with the provider chosen based on the build configuration."
38,"The initial request for the web page will be processed as follows."
61,"If this privilege is absent (e.g. non-administrator users trying to invoke the automated actions), the request will be dropped and a 403 Forbidden status will be returned."
56,"Special keys (csrf key and backdoor key) can be used to bypass each of the checks, typically for testing purpose."
42,"Subsequent AJAX requests sent to the server will be processed as follows."
1,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
177,"x.storage contains component test cases for testing the Storage component."
144,"Implementation of Transaction Control has been minimized due to limitations of GAE environment and the nature of our data schema."
80,"Managing transactions, e.g. ensuring atomicity of a transaction."
25,"The diagram below shows the object structure of the UI component."
65,"Fourth, request forwarded to the AutomatedServlet."
140,"However, it is expected to avoid test failures caused by eventual consistency in dev server and reduce such problems in the live server."
110,"Invalid parameters throws InvalidParametersException."
95,"To access control the following information are presented."
175,"x.util contains component test cases for testing the utility classes from the Common component."
154,"Attempt to delete an entity that does not exist fails silently."
35,"The user-invoked requests and the automated (GAE server-invoked) requests, which are processed differently."
55,"Authentication and authorization check checks if the logged in user (or lack thereof) has sufficient privileges to trigger the API's actions."
161,"They can be combined in various ways to transfer structured data between components."
127,"These datatransfer classes are in common.datatransfer package, to be explained later."
152,"Attempt to update an entity with invalid data throws InvalidParametersException."
114,"This is because if it does not exist, it is as good as deleted."
99,"Null parameters causes an assertion failure."
142,"As a result, the data may be in an inconsistent states for short periods of time although things should become consistent eventually."
64,"This is particularly useful in testing the actions associated with those requests."
98,"To API for creating entities the following information are presented."
59,"This type of request will be processed as follows."
198,"client.scripts scripts that deal with the back end data for administrative purposes."
53,"These are origin check, authentication and authorization check."
117,"Refer to the API for the cascade logic."
69,"GAE server sends such automated requests through two different configurations."
89,"GateKeeper checks access rights of a user for a given action."
24,"It is a conceptual package representing the front-end of the application."
68,"Seventh, the corresponding AutomatedAction will be performed, interacting with the Logic component as necessary."
88,"Logic is a Facade class which connects to the several Logic classes to handle the logic related to various types of data and to access data from the Storage component."
150,"To API for updating the following information are presented."
124,"Hiding the persistable objects."
32,"Second, custom filters are applied according to the order specified in web.xml, e.g. OriginCheckFilter."
10,"The following explains the use of the Test Driver."
11,"TEAMMATES makes heavy use of automated regression testing."
17,"Selenium Java is used to automate E2E testing with actual Web browsers."
195,"Package overview contains client.util, client.remoteapi, client.scripts."
8,"The main logic of the application is in POJOs (Plain Old Java Objects)."
2,"TEAMMATES is a Web application that runs on Google App Engine (GAE)."
94,"It connects to GAE's task queue API."
131,"storage.api provides the API of the component to be accessed by the logic component."
76,"Since the high-level workflow of processing a request is same for any request (differing by the two request types only), we use the Template Method pattern to abstract the process flow into the Action and AutomatedAction classes."
196,"client.util contains helpers needed for client scripts."
54,"Origin check mitigates CSRF attack."
86,"logic.core contains the core logic of the system."
26,"ui.website is not a Java package."
148,"To API for retrieving the following information are presented."
143,"For example, an object we deleted may appear to still exist for a short while."
109,"Entity not found throws EntityDoesNotExistException."
81,"Sanitizing input values received from the UI component."
13,"TestNG is used for Java testing (all levels) and Jest for JavaScript unit-testing."
119,"It contains minimal logic beyond what is directly relevant to CRUD operations."
156,"Package overview contains common.util, common.exceptions, common.datatransfer."
120,"In particular, it is reponsible for the following."
46,"Fourth, the Action object checks the access rights of the user."
137,"These classes act as the bridge to the GAE Datastore."
92,"It connects to the email provider by using the appropriate Service class."
93,"TaskQueuer adds tasks to the task queue."
168,"This component automates the testing of TEAMMATES."
